title,doi,notes,...4,keywords,pubmed_id,pmc_id,PDF files,exclusion_reason
Air Pollution and Cognitive Impairment across the Life Course in Humans: A Systematic Review with Specific Focus on Income Level of Study Area,10.3390/ijerph19031405,"Export Date: 08 April 2024; Cited By: 15; Correspondence Address: M. Chandra; Department of Psychiatry, Centre of Excellence in Mental Health, Atal Bihari Vajpayee Institute of Medical Sciences (formerly PGIMER) and Dr. Ram Manohar Lohia Hospital, New Delhi, 110001, India; email: minasaxena@gmail.com | RAYYAN-INCLUSION: {""Lorenzo""=>""Excluded"", ""Kyle ""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Air pollution;Cognition;Cognitive impairment;Dementia;Global pollution;Health effects/risks;PAH;Particulate matter<sub>2.5</sub> (PM<sub>2.5</sub> );Adolescent;Aged;Air Pollutants;Air Pollution;Child;Cognitive Dysfunction;Environmental Exposure;Humans;Life Change Events;Particulate Matter;isophorone;polycyclic aromatic hydrocarbon;atmospheric pollution;cognition;health risk;mental disorder;pollution exposure;air pollutant;air pollution;cognitive defect;dementia;environmental exposure;human;lifespan;mental capacity;mental deterioration;neuroimaging;noise pollution;outcome assessment;particulate matter 2.5;perinatal exposure;persistent organic pollutant;pollution monitoring;quality control;Review;risk assessment;systematic review;adolescent;adverse event;aged;analysis;child;life event;particulate matter;toxicity;Humanities;Humanism,NA,NA,NA,meta-analytic estimate with variance not reported
Maternal pesticide exposure and its relation to childhood cancer: an umbrella review of meta-analyses,10.1080/09603123.2021.1900550,"Export Date: 08 April 2024; Cited By: 6; Correspondence Address: S. Iqbal; Department of Environmental Health, Centre for Public Health, Medical University of Vienna, Vienna, Austria; email: saheriqbal55@yahoo.com; I. Ali; Inayat Ali Department of Social and Cultural Anthropology, University of Vienna, Vienna, Universitätsstrasse 7, 1010, Austria; email: inayat_qau@yahoo.com; CODEN: IJERE | RAYYAN-INCLUSION: {""Lorenzo""=>""Excluded"", ""Kyle ""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,"birth weight;childhood cancer;leukaemia;meta-analyses;Pesticides;Birth Weight;Child;Dichlorodiphenyl Dichloroethylene;Female;Humans;Infant;Leukemia;Maternal Exposure;Neoplasms;Pregnancy;Risk Factors;1,1 dichloro 2,2 bis(4 chlorophenyl)ethylene;2,2',4,4',5,5' hexachlorobiphenyl;pesticide;polychlorinated biphenyl;cancer;child health;confidence interval;DDE;meta-analysis;pollution exposure;risk factor;weight;brain cancer;brain tumor;bronchitis;cancer risk;child;childhood leukemia;female;human;lymphoma;male;maternal exposure;meta analysis;neuroblastoma;occupational exposure;prenatal exposure;Review;systematic review;wheezing;adverse event;infant;leukemia;neoplasm;pregnancy",NA,NA,NA,meta-analytic estimate with variance not reported
"PFAS exposure of humans, animals and the environment: Protocol of an evidence review map and bibliometric analysis",10.1016/j.envint.2021.106973,"Export Date: 08 April 2024; Cited By: 5; Correspondence Address: C. Vendl; Evolution and Ecology Research Centre, School of Biological, Earth and Environmental Sciences, University of New South Wales Sydney, Sydney, 2052, Australia; email: c.vendl@unsw.edu.au; CODEN: ENVID | RAYYAN-INCLUSION: {""Lorenzo""=>""Excluded"", ""Kyle ""=>""Maybe""} | RAYYAN-LABELS: protocol for lorenzo map | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Ecotoxicology;PFOA;PFOS;‘Overview of reviews’;‘Systematic review’;‘Umbrella review’;Abstracting;Diagnosis;Organic chemicals;Anthropogenic organic chemicals;Bibliometrics analysis;Eco-toxicology;Map analysis;Systematic Review;‘overview of review’;‘systematic review’;‘umbrella review’;Animals;Humanities;Humanism;Humans;Bibliometrics;Animal Shells,NA,NA,NA,meta-analytic estimate with variance not reported
Exploring a mechanism-based approach for the identification of endocrine disruptors using Adverse Outcome Pathways (AOPs) and New Approach Methodologies (NAMs) : A perfluorooctane sulfonic acid case study.,10.1016/j.tox.2024.153794,"RAYYAN-INCLUSION: {""Lorenzo""=>""Excluded"", ""Kyle ""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Sulfonic Acids;Sulfones,38580097,NA,NA,meta-analytic estimate with variance not reported
A systematic review of the evaluation of endocrine-disrupting chemicals in the Japanese medaka (<i>Oryzias latipes</i>) fish,10.3389/ftox.2023.1272368,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Pietro""=>""Maybe""} | RAYYAN-LABELS: systematic review | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,NA,NA,NA,NA,meta-analytic estimate with variance not reported
Polychlorinated biphenyls and risk of metabolic syndrome and comparison with the risk of diabetes: A systematic review and meta-analysis,10.1016/j.scitotenv.2023.165773,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Pietro""=>""Included""} | RAYYAN-LABELS: polychlorinated biphenyls | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: no ocp or pfa",NA,NA,NA,NA,NA,wrong exposure
Environmental and occupational factors and higher risk of couple infertility: a systematic review study,10.1186/s43043-022-00124-4,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Pietro""=>""Excluded""} | RAYYAN-LABELS: general pesticide | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,NA,NA,NA,NA,meta-analytic estimate with variance not reported
A Systematic Review and Meta-analysis of Chemical Exposures and Attention-Deficit/Hyperactivity Disorder in Children,10.1007/s11121-023-01601-6,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Pietro""=>""Included""} | RAYYAN-LABELS: polychlorinated biphenyls | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: no ocp or pfa",NA,Only Child;Child,NA,NA,NA,wrong exposure
Sex difference of pre- and post-natal exposure to six developmental neurotoxicants on intellectual abilities: a systematic review and meta-analysis of human studies,10.1186/s12940-023-01029-z,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Pietro""=>""Included""} | RAYYAN-LABELS: polychlorinated biphenyls | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: no ocp or pfa",NA,Humanities;Humanism;Humans;Sex Characteristics,NA,NA,NA,wrong exposure
Exposure to environmental pollutants and attention-deficit/hyperactivity disorder: an overview of systematic reviews and meta-analyses,10.1007/s11356-023-30173-9,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Pietro""=>""Excluded""} | RAYYAN-LABELS: POPs | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Environmental Exposure,NA,NA,NA,meta-analytic estimate with variance not reported
Effect of persistent organic pollutants in patients with ischemic stroke and all stroke: A systematic review and meta-analysis,10.1016/j.tox.2023.153567,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Pietro""=>""Included""} | RAYYAN-LABELS: POPs,polychlorinated biphenyls | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: no ocp or pfa",NA,NA,NA,NA,NA,wrong exposure
Early-life exposure to endocrine-disrupting chemicals and autistic traits in childhood and adolescence: a systematic review of epidemiological studies,10.3389/fendo.2023.1184546,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Pietro""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Adolescent,NA,NA,NA,meta-analytic estimate with variance not reported
Human exposure to pesticides and thyroid cancer: a worldwide systematic review of the literatures,10.1186/s13044-023-00153-9,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Pietro""=>""Included""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Humanism;Humans;Humanities;Pesticides;Thyroid Neoplasms;Thyroid Gland,NA,NA,NA,meta-analytic estimate with variance not reported
Association between polychlorinated biphenyl exposure and thyroid hormones: a systematic review and meta-analysis,10.1080/26896583.2022.2149213,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Pietro""=>""Included""} | RAYYAN-LABELS: polychlorinated biphenyls | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: no ocp or pfa",NA,Thyroid Gland;Thyroid Hormones,NA,NA,NA,wrong exposure
Meta-Analysis of Body Concentration of Polychlorinated Biphenyls and Prostate Cancer,10.1177/07482337221129162,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Pietro""=>""Included""} | RAYYAN-LABELS: polychlorinated biphenyls | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: no ocp or pfa",NA,Prostatic Neoplasms;Prostate,NA,NA,NA,wrong exposure
Environmental health influences in pregnancy and risk of gestational diabetes mellitus: a systematic review,10.1186/s12889-022-13965-5,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Pietro""=>""Excluded""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong exposure",NA,"Pregnancy;Diabetes, Gestational;Environmental Health",NA,NA,NA,wrong exposure
"Occurrence, spatiotemporal trends, fate, and treatment technologies for microplastics and organic contaminants in biosolids: A review",10.1016/j.jhazmat.2024.133471,"RAYYAN-INCLUSION: {""Kyle ""=>""Excluded"", ""Pietro""=>""Maybe""} | RAYYAN-LABELS: polychlorinated biphenyls | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis,no study level identifiers",NA,NA,NA,NA,NA,meta-analytic estimate with variance not reported
Impact of chemical pollution on threatened marine mammals: A systematic review,10.1016/j.jhazmat.2023.132203,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Pietro""=>""Excluded""} | RAYYAN-LABELS: general pesticide | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Military Personnel,NA,NA,NA,meta-analytic estimate with variance not reported
Human biomonitoring of environmental contaminants in Gulf Countries-current status and future directions,10.1016/j.envres.2023.116650,"RAYYAN-INCLUSION: {""Kyle ""=>""Excluded"", ""Pietro""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Humanities;Humanism;Humans,NA,NA,NA,meta-analytic estimate with variance not reported
"Chemical pollution, exposome and health in the population of the Canary Islands: a systematic review of the studies carried out and analysis of the situation",NA,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Pietro""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-LABELS: spanish - needs double checked | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Spain,NA,NA,NA,meta-analytic estimate with variance not reported
Endocrine-disrupting chemicals (EDCs) and cancer: new perspectives on an old relationship,10.1007/s40618-022-01983-4,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Pietro""=>""Excluded""} | RAYYAN-LABELS: unsure on chemicals included | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,NA,NA,NA,NA,meta-analytic estimate with variance not reported
Endocrine-disrupting chemicals and endocrine neoplasia: A forty-year systematic review,10.1016/j.envres.2022.114869,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Pietro""=>""Excluded""} | RAYYAN-LABELS: general pesticide | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong exposure",NA,NA,NA,NA,NA,wrong exposure
Avian colouration in a polluted world: a meta-analysis,10.1111/brv.13067,"RAYYAN-INCLUSION: {""Kyle ""=>""Excluded"", ""Pietro""=>""Maybe""} | RAYYAN-LABELS: POPs | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: no ocp or pfa",NA,NA,NA,NA,NA,wrong exposure
Exploring the Effects of Endocrine-Disrupting Chemicals and miRNA Expression in the Pathogenesis of Endometriosis by Unveiling the Pathways: a Systematic Review,10.1007/s43032-023-01412-8,"RAYYAN-INCLUSION: {""Kyle ""=>""Excluded"", ""Pietro""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Endometriosis,NA,NA,NA,meta-analytic estimate with variance not reported
Perfluorohexyloctane in dry eye disease: A systematic review of its efficacy and safety as a novel therapeutic agent,10.1016/j.jtos.2023.10.001,"RAYYAN-INCLUSION: {""Kyle ""=>""Excluded"", ""Pietro""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Eye Diseases,NA,NA,NA,meta-analytic estimate with variance not reported
Associations between exposure to organochlorine pesticides and diabetes risk: a systematic review,NA,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Pietro""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: full text not available",NA,Pesticides,NA,NA,NA,full text not available
The association between polycystic ovary syndrome and environmental pollutants based on animal and human study; a systematic review,10.1515/reveh-2022-0187,"RAYYAN-INCLUSION: {""Kyle ""=>""Excluded"", ""Pietro""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: full text not available",NA,Humanities;Humanism;Humans;Animals;Ovary;Animal Shells;Polycystic Ovary Syndrome,NA,NA,NA,full text not available
"Human 2,3,7,8-tetrachlorodibenzo-p-dioxin exposure and thyroid cancer risk",10.1016/j.tox.2023.153474,"RAYYAN-INCLUSION: {""Kyle ""=>""Excluded"", ""Pietro""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Humanities;Humanism;Humans;Thyroid Neoplasms;Thyroid Gland,NA,NA,NA,meta-analytic estimate with variance not reported
A systematic review of mechanistic studies on the relationship between pesticide exposure and cancer induction,10.1016/j.taap.2022.116280,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Pietro""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Pesticides,NA,NA,NA,meta-analytic estimate with variance not reported
Systematic review of residual toxicity studies of pesticides to bees and veracity of guidance on pesticide labels,10.7717/peerj.16672,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Pietro""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Bees;Environmental protection agency;Pesticides;Residual toxicity;Systematic review;acephate;acetamiprid;aldoxycarb;azamethiphos;azinphos methyl;bifenthrin;butoxide;carbaril;carbofuran;chlorpyrifos;clofentezine;colpyralid;cyfluthrin;cyhalothrin;cypermethrin;cyromazine;deltamethrin;dicofol;dimethoate;dimpylate;disulfoton;endosulfan;ethiprole;fenitrothion;fenvalerate;fipronil;fluazinam;flupyradifurone;fluvalinate;imidacloprid;indoxacarb;leptophos;lindane;malathion;malonoben;methamidophos;methidathion;methyl oxamyl;metrifonate;naled;oxydemeton;parathion;permethrin;pesticide;pesticide residue;phenthoate;phosmet;piperonyl butoxide;prochloraz;profenofos;propargite;pyrethroid;sulfloxaflor;tetraniliprole;thiacloprid;thiodicarb;tiazamate;tolfenpyrad;unclassified drug;Apis mellifera;bee;calculation;environmental hazard  section;environmental protection;evaluation study;foraging;hazard;honeybee;humidity;label language analysis;language network;LD50;Megachile rotundata;mortality;Nomia melanderi;nonhuman;physical chemistry;practice guideline;Review;risk assessment;RT25 value;systematic review;toxicity testing,NA,NA,NA,meta-analytic estimate with variance not reported
Polychlorinated biphenyl (PCB) half-lives in humans: A systematic review,10.1016/j.chemosphere.2023.140359,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Pietro""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Half-life;Human;Persistent organic pollutants (POPs) and exposure;Polychlorinated biphenyls (PCBs);Body Burden;Breast Feeding;Environmental Pollutants;Female;Half-Life;Humans;North America;Polychlorinated Biphenyls;Polychlorinated biphenyls;polychlorinated biphenyl;Body burden;Degree of chlorination;Exposed to;Half lives;Orders of magnitude;Persistent organic pollutant  and exposure;Polychlorinated biphenyl;Scientific literature;Systematic Review;chlorination;literature review;PCB;persistent organic pollutant;pollution exposure;smoking;adolescent;adult;aged;blood level;body burden;body mass;chemical structure;child;cohort analysis;female;half life time;human;infant;lactational exposure;male;milk level;newborn;people by smoking status;Review;systematic review;tissue level;breast feeding;pollutant;Organic pollutants;Humanities;Humanism,NA,NA,NA,meta-analytic estimate with variance not reported
Pacific salmon as vectors of environmental contaminants: An experimental test confirms synoptic surveys in natural streams,10.1016/j.envpol.2023.122355,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Pietro""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,"Bioaccumulation;Contaminant biotransport;Experimental ecotoxicology;Mercury;Pacific salmon;Polychlorinated biphenyls;Animals;Ecosystem;Oncorhynchus;Polychlorinated Biphenyls;Rivers;Salmon;Trout;Water Pollutants, Chemical;Biochemistry;Contamination;Mercury (metal);River pollution;1,1 dichloro 2,2 bis(4 chlorophenyl)ethylene;mercury;polychlorinated biphenyl;Biotransport;Eco-toxicology;Environmental contaminant;Experimental test;Natural streams;Synoptic surveys;concentration (composition);environmental management;experimental study;PCB;persistent organic pollutant;salmonid;source apportionment;spawning;stream;analysis of variance;Article;bioaccumulation;biotransformation;biotransported contaminant;caloric intake;chemical analysis;chemical composition;controlled study;demography;diet;effect size;environmental exposure;experimental test;lake ecosystem;nonhuman;permutational analysis of variance;United States;water pollution;watershed;animal;ecosystem;meta analysis;river;salmonine;water pollutant;Organic pollutants",NA,NA,NA,meta-analytic estimate with variance not reported
Mechanism Exploration of Environmental Pollutants on Premature Ovarian Insufficiency: a Systematic Review and Meta-analysis,10.1007/s43032-023-01326-5,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Pietro""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,"Environmental pollutant;Mechanism;Meta-analysis;Premature ovarian failure;Premature ovarian insufficiency;Environmental Pollutants;Female;Humans;Infertility;Menopause, Premature;Metals, Heavy;Pharmaceutical Preparations;Phosphatidylinositol 3-Kinases;Primary Ovarian Insufficiency;3 methylcholanthrene;4 hydroxybenzoic acid ester;4 vinylcyclohexene diepoxide;4,4' isopropylidenediphenol;8 hydroxydeoxyguanosine;8 isoprostane;benzo[a]pyrene;cadmium;chlorphenotane;cigarette smoke;cigarette smoke condensate;collagen type 1;collagen type 3;collagen type 4;copper;cosmetic;cx43 protein;drug;early growth response factor 3;heavy metal;perfluorooctanesulfonic acid;phenanthrene;phthalic acid benzyl butyl ester;phthalic acid bis(2 ethylhexyl) ester;phthalic acid ester;polychlorinated biphenyl;polycyclic aromatic hydrocarbon;ptgs2 protein;pyrethroid;selenium;thallium;titanium dioxide nanoparticle;trefoil factor 1;unclassified drug;xpnpep2 protein;phosphatidylinositol 3 kinase;adult;Article;calcium signaling;Cochrane Library;controlled study;Embase;female;human;Medline;meta analysis;Newcastle-Ottawa scale;persistent organic pollutant;Pi3K/Akt signaling;pollutant;premature ovarian failure;systematic review;Web of Science;early menopause;infertility",NA,NA,NA,meta-analytic estimate with variance not reported
Early-Life Exposure to Perfluoroalkyl Substances (PFAS) and Child Language and Communication Development: A Systematic Review,10.3390/ijerph20247170,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Pietro""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,child language development;developmental language disorder;environmental contaminants;perfluoroalkyl substances;postnatal exposure;prenatal exposure;Alkanesulfonic Acids;Child;Child Language;Communication;Environmental Pollutants;Female;Fluorocarbons;Humans;Language Development;Prenatal Exposure Delayed Effects;Young Adult;chemical compound;perfluoroalkyl substance;unclassified drug;alkanesulfonic acid;fluorocarbon;academic research;child development;endocrine disruptor;environmental factor;health geography;literature review;medical geography;pollution effect;pollution exposure;child;data analysis;data extraction;data quality;data quality assessment;human;information processing;information retrieval;interpersonal communication;language development;Review;systematic review;epidemiology;female;pollutant;young adult;Only Child,NA,NA,NA,meta-analytic estimate with variance not reported
Linking Prenatal Environmental Exposures to Lifetime Health with Epigenome-Wide Association Studies: State-of-the-Science Review and Future Recommendations,10.1289/EHP12956,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Pietro""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,"Biomarkers;Environmental Exposure;Epigenome;Female;Folic Acid;Genome-Wide Association Study;Humans;Infant, Newborn;Pregnancy;arsenic;biological marker;cadmium;folic acid;mercury;metal;methylmercury;nitrogen dioxide;air pollution;alcohol consumption;anxiety;birth weight;cigarette smoking;CpG island;depression;diet;dietary pattern;DNA methylation;e-waste;environmental exposure;epigenetics;epigenome;genome-wide association study;health;human;lifespan;mental stress;multiomics;physiological stress;pollution;postnatal depression;pregnancy;prenatal exposure;questionnaire;reproducibility;review;Review;smoking;United States;female;meta analysis;newborn",NA,NA,NA,meta-analytic estimate with variance not reported
Leveraging Systematic Reviews to Explore Disease Burden and Costs of Per- and Polyfluoroalkyl Substance Exposures in the United States,10.1007/s12403-022-00496-y,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Pietro""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Cancer;Child health;Diabetes;Disease burden;Economic costs;Environmental chemicals;Fertility;Metabolism;Obesity;Perfluoroalkyl substances;PFAS;Polyfluoroalkyl substances;Reproductive health;Respiratory infection;United States;cancer;cost analysis;disease incidence;fertility;infectivity;metabolism;obesity;organic compound;pollution exposure;public health;respiratory disease,NA,NA,NA,meta-analytic estimate with variance not reported
Is exposure to chemical pollutants associated with sleep outcomes? A systematic review,10.1016/j.smrv.2023.101805,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Pietro""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,"Cholinergic agents;Dioxins;Endocrine disruptors;Environmental pollutants;Gulf war illness;Heavy metals;Mercury;Particulate matter;Pesticides;Sleep health;Sleep initiation and maintenance disorders;Sleep wake disorders;Solvents;Child;Environmental Pollutants;Humans;Sleep;Sleep Apnea Syndromes;Sleep Initiation and Maintenance Disorders;4,4' isopropylidenediphenol;aluminum;cholinergic receptor stimulating agent;dioxin;endocrine disruptor;heavy metal;hypnotic agent;mercury;metal;nitrogen oxide;organofluorine derivative;ozone;perfluoroalkyl substance;pesticide;phthalic acid derivative;polybrominated diphenyl ether;polychlorinated biphenyl;polyfluoroalkyl substance;solvent;sulfur oxide;tobacco smoke;unclassified drug;air pollutant;air pollution;cholinergic transmission;data base;data extraction;environmental exposure;human;inflammation;insomnia;lifespan;neurotransmission;particulate matter;particulate matter 1.0;particulate matter 10;particulate matter 2.5;particulate matter exposure;passive smoking;pediatric patient;population research;Review;risk assessment;sleep;sleep apnea syndromes;sleep disorder;sleep quality;sleep time;statistical bias;systematic review;war;child;pollutant",NA,NA,NA,meta-analytic estimate with variance not reported
Honey contamination from plant protection products approved for cocoa (Theobroma cacao) cultivation: A systematic review of existing research and methods,10.1371/journal.pone.0280175,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Pietro""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,Animals;Bees;Cacao;Chocolate;Honey;Humans;Pesticide Residues;Pesticides;acaricide;acetaprimid;aldrin;bifenthrin;capsaicin;chlorantraniliprole chlorpyriphos;chlorpyrifos;cyhalothrin;cypermethrin;deltamethrin;dimethoate;endosulfan;fipronil;glyphosate;hexachlorocyclohexane;imidacloprid;indoxacarb;malathion;mycotoxin;neonicotinoid;organochlorine derivative;organophosphate;paraquat;pesticide;pesticide residue;pirimiphosmethyl;plant protection product;promecarb;pyrethroid;sulfoxaflor;teflubenzuron;thiacloprid;thiamethoxam;unclassified drug;Article;cacao;comparative study;contamination;environmental policy;flower;foraging;geographic distribution;growing season;health care policy;honey;honeybee;human;limit of detection;limit of quantitation;nectar;nonhuman;plant product;quality control;sensitivity analysis;systematic review;animal;bee;chemistry;chocolate;Consumer Product Safety,NA,NA,NA,meta-analytic estimate with variance not reported
Occupational Exposures and Risks of Non-Hodgkin Lymphoma: A Meta-Analysis,10.3390/cancers15092600,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Pietro""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,"carcinogens;non-Hodgkin lymphoma;occupational exposure;pesticides;asbestos;benzene;carcinogen;hydrocarbon;organic compound;organochlorine derivative;pesticide;trichloroethylene;cancer risk;chronic lymphatic leukemia;data quality assessment;diffuse large B cell lymphoma;evidence based medicine;human;meta analysis;multiple myeloma;nonhodgkin lymphoma;occupational cancer;Review;risk factor;systematic review;Hodgkin Disease;Occupational Exposure;Lymphoma, Non-Hodgkin;Lymphoma",NA,NA,NA,meta-analytic estimate with variance not reported
"Corrigendum to “Assessing the health risk of hyperuricemia in participants with persistent organic pollutants exposure - a systematic review and meta-analysis” [Ecotoxicol. Environ. Saf. 251 (Feb 2023) 114525] (Ecotoxicology and Environmental Safety (2023) 251, (S0147651323000295), (10.1016/j.eco...",10.1016/j.ecoenv.2023.114661,"RAYYAN-INCLUSION: {""Kyle ""=>""Maybe"", ""Pietro""=>""Maybe""} | RAYYAN-INCLUSION: {""Kyle ""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not meta-analysis",NA,erratum,NA,NA,NA,meta-analytic estimate with variance not reported
